Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://newsroom.upscrolled.com/blog-posts/view/5856/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.583,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5864/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.392,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5868/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.368,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5870/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.421,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5875/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.392,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5876/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.426,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5877/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.437,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5878/{{downloadLink}},,29,0.003505834770884864,n/a,4,200,0.456,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,60,-,
https://newsroom.upscrolled.com/blog-posts/view/5816/{{downloadLink}},,27,0.003505623721856226,n/a,3,200,0.458,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5821/{{downloadLink}},,27,0.003505623721856226,n/a,3,200,0.398,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5872/{{downloadLink}},,24,0.0034997482263994816,n/a,4,200,0.458,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,47,-,
https://newsroom.upscrolled.com/blog-posts/view/5819/{{downloadLink}},,22,0.003499537529260204,n/a,3,200,0.418,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/view/5818/{{downloadLink}},,20,0.00349883982453136,n/a,3,200,0.486,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/view/5830/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.364,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/blog-posts/view/5831/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.402,0,0,1,0,0,-,0,1,10,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/blog-posts/view/5846/{{fileLink}},,18,0.003457035826873127,n/a,3,200,0.487,0,0,1,0,0,-,0,1,10,3,0,-,-,30,651,59,-,
